17,18,19,20,21,busted,blackjack,sum
2 0.13981 0.134908 0.129656 0.124027 0.117994 0.353607 0 1
3 0.135034 0.130483 0.125581 0.120329 0.1147 0.373873 0 1
4 0.13049 0.125938 0.121387 0.116485 0.111233 0.394467 0 1
5 0.122252 0.122252 0.1177 0.113148 0.108246 0.416402 0 1
6 0.165439 0.106267 0.106267 0.101715 0.0971634 0.423149 0 1
7 0.368564 0.137798 0.0786257 0.0786257 0.074074 0.262313 0 1
8 0.128567 0.359334 0.128567 0.0693952 0.0693952 0.244741 0 1
9 0.119996 0.119996 0.350763 0.119996 0.060824 0.228425 0 1
10 0.111425 0.111425 0.111425 0.342192 0.0345015 0.212109 0.0769233 1
A 0.130789 0.130789 0.130789 0.130789 0.0538662 0.115286 0.30769 1


10 0.151009 0.151009 0.151009 0.151009 0.151009 0.244956 0 1
11 0.145501 0.145501 0.145501 0.145501 0.145501 0.272493 0 1
12 0.14001 0.14001 0.14001 0.14001 0.14001 0.299949 0 1
13 0.134561 0.134561 0.134561 0.134561 0.134561 0.327194 0 1
14 0.129176 0.129176 0.129176 0.129176 0.129176 0.354119 0 1
15 0.111425 0.111425 0.111425 0.111425 0.342192 0.212109 0 1
16 0.103466 0.103466 0.103466 0.103466 0.103466 0.48267 0 1
17 0.0960755 0.0960755 0.0960755 0.0960755 0.0960755 0.519623 0 1
18 0.0892129 0.0892129 0.0892129 0.0892129 0.0892129 0.553935 0 1
19 0.0828405 0.0828405 0.0828405 0.0828405 0.0828405 0.585797 0 1
20 0.0769233 0.0769233 0.0769233 0.0769233 0.0769233 0.615383 0 1
21 1 0 0 0 0 0 0 1
22 0 1 0 0 0 0 0 1
23 0 0 1 0 0 0 0 1
24 0 0 0 1 0 0 0 1
25 0 0 0 0 1 0 0 1
26 0 0 0 0 0 1 0 1
27 0 0 0 0 0 0 1 1

DealerCard:A
      Stand           Hit        max(s,h)       double      max(s,h,d)          split
    -0.117219     -0.531673     -0.117219      -1.06335     -0.117219             0            17 S
    -0.252253     -0.463767     -0.252253     -0.927533     -0.252253             0            16 S
    -0.252253     -0.406247     -0.252253     -0.812495     -0.252253             0            15 S
    -0.252253     -0.348728     -0.252253     -0.697456     -0.252253             0            14 S
    -0.252253     -0.291209     -0.252253     -0.582418     -0.252253             0            13 S
    -0.252253      -0.23369      -0.23369      -0.46738      -0.23369             0            12 H
    -0.252253      0.260322      0.260322      0.517787      0.517787             0            11 D
       0.8853      0.201375        0.8853      0.402749        0.8853             0            21 S
     0.650271      0.206085      0.650271      0.409314      0.650271             0            20 S
     0.404362      0.149337      0.404362      0.295818      0.404362             0            19 S
     0.148298     0.0902462      0.148298      0.177636      0.177636             0            18 D
    -0.117219     0.0289737     0.0289737     0.0550914     0.0550914             0            17 D
    -0.252253    0.00905787    0.00905787   -0.00723146    0.00905787             0            16 H
    -0.252253     0.0291588     0.0291588   -0.00723146     0.0291588             0            15 H
    -0.252253      0.050806      0.050806   -0.00723146      0.050806             0            14 H
    -0.252253     0.0741183     0.0741183   -0.00723146     0.0741183             0            13 H
    -0.252253      0.206085      0.206085      0.409314      0.409314             0            10 D
    -0.252253      0.101262      0.101262      0.120809      0.120809             0             9 D
    -0.252253    0.00800245    0.00800245     -0.136223    0.00800245             0             8 H
    -0.252253    -0.0765855    -0.0765855     -0.359786    -0.0765855             0             7 H
    -0.252253     -0.107293     -0.107293     -0.483732     -0.107293             0             6 H
    -0.252253    -0.0953124    -0.0953124     -0.504507    -0.0953124             0             5 H
    -0.252253    -0.0826153    -0.0826153     -0.504507    -0.0826153             0             4 H
    -0.252253    -0.0688777    -0.0688777     -0.504507    -0.0688777             0             3 H
    -0.252253    -0.0497515    -0.0497515     -0.504507    -0.0497515             0             2 H
    -0.252253     0.0712264     0.0712264     -0.504507     0.0712264             0             1 H
     0.650271     -0.854976      0.650271      -1.70995      0.650271     -0.322902            20 S
     0.148298     -0.620004      0.148298      -1.24001      0.148298      0.259195            18 P
    -0.252253     -0.463767     -0.252253     -0.927533     -0.252253      0.148542            16 P
    -0.252253     -0.348728     -0.252253     -0.697456     -0.252253    -0.0425045            14 P
    -0.252253      -0.23369      -0.23369      -0.46738      -0.23369     -0.119047            12 P
    -0.252253      0.206085      0.206085      0.409314      0.409314     -0.212388            10 D
    -0.252253    0.00800245    0.00800245     -0.136223    0.00800245     -0.109411             8 H
    -0.252253     -0.107293     -0.107293     -0.483732     -0.107293    -0.0559768             6 P
    -0.252253    -0.0826153    -0.0826153     -0.504507    -0.0826153    -0.0152562             4 P
    -0.252253      -0.23369      -0.23369      -0.46738      -0.23369             0            12 H



DealerCard:4
     0.888767            -1      0.888767            -2      0.888767             0            21 S
     0.661049      -0.85471      0.661049      -1.70942      0.661049             0            20 S
     0.423178     -0.726936      0.423178      -1.45387      0.423178             0            19 S
     0.175852     -0.617461      0.175852      -1.23492      0.175852             0            18 S
   -0.0805762      -0.52701    -0.0805762      -1.05402    -0.0805762             0            17 S
    -0.211066     -0.456285     -0.211066      -0.91257     -0.211066             0            16 S
    -0.211066     -0.395598     -0.211066     -0.791195     -0.211066             0            15 S
    -0.211066      -0.33491     -0.211066     -0.669821     -0.211066             0            14 S
    -0.211066     -0.274223     -0.211066     -0.548446     -0.211066             0            13 S
    -0.211066     -0.213535     -0.211066     -0.427071     -0.211066             0            12 S
    -0.211066      0.283016      0.283016      0.566033      0.566033             0            11 D
     0.888767      0.222329      0.888767      0.444658      0.888767             0            21 S
     0.661049      0.230467      0.661049      0.460934      0.661049             0            20 S
     0.423178      0.175574      0.423178      0.351148      0.423178             0            19 S
     0.175852        0.1185      0.175852      0.236999      0.236999             0            18 D
   -0.0805762     0.0593243     0.0593243      0.118649      0.118649             0            17 D
    -0.211066     0.0399732     0.0399732     0.0584231     0.0584231             0            16 D
    -0.211066      0.059284      0.059284     0.0584231      0.059284             0            15 H
    -0.211066     0.0800802     0.0800802     0.0584231     0.0800802             0            14 H
    -0.211066      0.102476      0.102476     0.0584231      0.102476             0            13 H
    -0.211066      0.230467      0.230467      0.460934      0.460934             0            10 D
    -0.211066      0.128978      0.128978      0.181942      0.181942             0             9 D
    -0.211066     0.0387813     0.0387813    -0.0663788     0.0387813             0             8 H
    -0.211066    -0.0430247    -0.0430247     -0.282305    -0.0430247             0             7 H
    -0.211066    -0.0729199    -0.0729199     -0.402057    -0.0729199             0             6 H
    -0.211066    -0.0614821    -0.0614821     -0.422133    -0.0614821             0             5 H
    -0.211066      -0.04937      -0.04937     -0.422133      -0.04937             0             4 H
    -0.211066    -0.0362637    -0.0362637     -0.422133    -0.0362637             0             3 H
    -0.211066    -0.0221027    -0.0221027     -0.422133    -0.0221027             0             2 H
    -0.211066     0.0974787     0.0974787     -0.422133     0.0974787             0             1 H
     0.661049      -0.85471      0.661049      -1.70942      0.661049     -0.214749            20 S
     0.175852     -0.617461      0.175852      -1.23492      0.175852      0.324341            18 P
    -0.211066     -0.456285     -0.211066      -0.91257     -0.211066      0.223402            16 P
    -0.211066      -0.33491     -0.211066     -0.669821     -0.211066     0.0507895            14 P
    -0.211066     -0.213535     -0.211066     -0.427071     -0.211066    -0.0202031            12 P
    -0.211066      0.230467      0.230467      0.460934      0.460934     -0.122782            10 D
    -0.211066     0.0387813     0.0387813    -0.0663788     0.0387813     -0.020753             8 H
    -0.211066    -0.0729199    -0.0729199     -0.402057    -0.0729199     0.0305348             6 P
    -0.211066      -0.04937      -0.04937     -0.422133      -0.04937     0.0597245             4 P
    -0.211066     -0.213535     -0.211066     -0.427071     -0.211066             0            12 S



DealerCard:5
     0.891754            -1      0.891754            -2      0.891754             0            21 S
     0.670359      -0.85448      0.670359      -1.70896      0.670359             0            20 S
     0.439511      -0.72599      0.439511      -1.45198      0.439511             0            19 S
     0.199559     -0.615258      0.199559      -1.23052      0.199559             0            18 S
   -0.0449441     -0.522984    -0.0449441      -1.04597    -0.0449441             0            17 S
    -0.167196     -0.449518     -0.167196     -0.899037     -0.167196             0            16 S
    -0.167196     -0.385456     -0.167196     -0.770912     -0.167196             0            15 S
    -0.167196     -0.321394     -0.167196     -0.642788     -0.167196             0            14 S
    -0.167196     -0.257332     -0.167196     -0.514664     -0.167196             0            13 S
    -0.167196      -0.19327     -0.167196      -0.38654     -0.167196             0            12 S
    -0.167196      0.307346      0.307346      0.614692      0.614692             0            11 D
     0.891754      0.243284      0.891754      0.486567      0.891754             0            21 S
     0.670359      0.256255      0.670359      0.512511      0.670359             0            20 S
